Method,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6
Agg_Linear,0.8981018981018981,0.22677322677322678,0.3086913086913087,0.000999000999000999,0.001998001998001998,0.000999000999000999
Agg_Arctan,0.6153846153846154,0.19480519480519481,0.7222777222777222,0.000999000999000999,0.000999000999000999,0.000999000999000999
Agg_Constant,0.984015984015984,0.14685314685314685,0.5244755244755245,0.001998001998001998,0.003996003996003996,0.001998001998001998
PI_Linear,0.844891754512681,0.996852853493197,0.380434471109836,1.60632864464282e-10,3.1084411776719e-25,1.53798596097266e-16
PI_Arctan,0.99956400776358,0.999892091924062,0.398919607503247,0.0001072633622279,0.0018699987375804,4.94712479972261e-07
PI_Constant,0.999864095351512,0.57024543569341,0.504767025177704,0.167119828023082,0.0261597317433143,0.0001751058495307
PD,0.7832167832167832,0.17182817182817184,0.5874125874125874,0.000999000999000999,0.000999000999000999,0.000999000999000999
PL,0.6713286713286714,0.8441558441558441,0.7292707292707292,0.000999000999000999,0.000999000999000999,0.000999000999000999
